year,variable,raw_column,rows,missing_pct,answers
2012,income,INCOME2,475687,14.0,75k+: 27.3%; 50-75k: 15.6%; 35-50k: 14.6%; 25-35k: 11.6%; 20-25k: 9.9%; 15-20k: 8.3%; 10-15k: 6.5%; <10k: 6.2%
2012,education,EDUCA,475687,0.4,College graduate: 34.5%; High school: 29.4%; Some college: 27.1%; Less than high school: 8.9%
2012,last_checkup,CHECKUP1,475687,1.3,Within 1 year: 72.8%; 1-2 years: 12.0%; 2-5 years: 7.2%; 5+ years: 7.1%; Never: 1.0%
2012,cost_barrier,MEDCOST,475687,0.3,No: 87.5%; Yes: 12.5%
2012,heart_disease,derived,475687,0.8,No: 90.7%; Yes: 9.3%
2013,state,_STATE,491773,0.0,
2013,weight,_LLCPWT,491773,0.0,
2013,heart_attack,CVDINFR4,491773,0.5,No: 94.0%; Yes: 6.0%
2013,coronary_heart_disease,CVDCRHD4,491773,0.9,No: 94.0%; Yes: 6.0%
2013,stroke,CVDSTRK3,491773,0.3,No: 95.8%; Yes: 4.2%
2013,high_blood_pressure,BPHIGH4,491773,0.3,No: 57.7%; Yes: 40.6%; Borderline: 1.0%; Pregnancy only: 0.7%
2013,high_cholesterol,TOLDHI2,491773,2.6,No: 49.4%; Yes: 38.3%; Never checked: 12.3%
2013,diabetes,DIABETE3,491773,0.2,No: 84.6%; Yes: 12.7%; Borderline: 1.8%; Pregnancy only: 0.9%
2013,smoked_100,SMOKE100,491773,3.0,No: 54.9%; Yes: 45.1%
2013,heavy_drinker,_RFDRHV4,491773,4.9,No: 94.5%; Yes: 5.5%
2013,exercise,EXERANY2,491773,6.9,Yes: 72.6%; No: 27.4%
2013,bmi,_BMI5,491773,5.4,"median 26.6, min 12.0, max 97.7"
2013,sleep_hours,SLEPTIM1,491773,1.5,"median 7.0, min 1.0, max 24.0"
2013,age_group,_AGEG5YR,491773,1.0,60-64: 11.0%; 55-59: 10.8%; 65-69: 10.3%; 50-54: 9.7%; 80 or older: 8.3%; 70-74: 8.2%; 45-49: 7.4%; 40-44: 6.5%; 75-79: 6.2%; 35-39: 5.8%; 30-34: 5.6%; 18-24: 5.6%; 25-29: 4.7%
2013,sex,SEX,491773,0.0,Female: 59.1%; Male: 40.9%
2013,race,_IMPRACE,491773,0.0,White: 78.0%; Black: 8.1%; Hispanic: 7.6%; Other: 2.8%; Asian: 2.0%; American Indian/Alaska Native: 1.6%
2013,gen_health,GENHLTH,491773,0.4,Very good: 32.5%; Good: 30.7%; Excellent: 17.5%; Fair: 13.6%; Poor: 5.7%
2013,phys_days,PHYSHLTH,491773,2.2,"median 0.0, min 0.0, max 30.0"
2013,ment_days,MENTHLTH,491773,1.8,"median 0.0, min 0.0, max 30.0"
2013,diff_walking,DIFFWALK,491773,2.6,No: 81.9%; Yes: 18.1%
2013,asthma,ASTHMA3,491773,0.3,No: 86.3%; Yes: 13.7%
2013,kidney_disease,CHCKIDNY,491773,0.3,No: 96.8%; Yes: 3.2%
2013,copd,CHCCOPD1,491773,0.6,No: 91.7%; Yes: 8.3%
2013,depression,ADDEPEV2,491773,0.5,No: 80.4%; Yes: 19.6%
2013,arthritis,HAVARTH3,491773,0.6,No: 66.2%; Yes: 33.8%
2013,income,INCOME2,491773,14.5,75k+: 27.6%; 50-75k: 15.5%; 35-50k: 14.6%; 25-35k: 11.6%; 20-25k: 9.9%; 15-20k: 8.3%; 10-15k: 6.4%; <10k: 6.0%
2013,education,EDUCA,491773,0.5,College graduate: 34.8%; High school: 29.2%; Some college: 27.4%; Less than high school: 8.6%
2013,last_checkup,CHECKUP1,491773,1.3,Within 1 year: 73.4%; 1-2 years: 11.8%; 5+ years: 6.9%; 2-5 years: 6.9%; Never: 0.9%
2013,cost_barrier,MEDCOST,491773,0.2,No: 87.7%; Yes: 12.3%
2013,heart_disease,derived,491773,0.9,No: 90.9%; Yes: 9.1%
2014,state,_STATE,464664,0.0,
2014,weight,_LLCPWT,464664,0.0,
2014,heart_attack,CVDINFR4,464664,0.5,No: 94.0%; Yes: 6.0%
2014,coronary_heart_disease,CVDCRHD4,464664,0.9,No: 93.8%; Yes: 6.2%
2014,stroke,CVDSTRK3,464664,0.3,No: 95.9%; Yes: 4.1%
2014,high_blood_pressure,not asked,464664,100.0,
